1. OPCODE: GU_GAME_ENTER_RES, LENGTH: 79, sha1: 899fe6bea6f11bd74ad0e86be95c149d690e072c
81. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: dc100d42723032e1e63f9cb1827040bf8009c4a5
82. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c428ce8488935666c1ea1f751daaa511a2f68328
83. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6297cd897fc7cee3d1793d14e47b149e2a053da5
84. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 3203c0bf01cadc2a8cd4f03933539de7c2ea23b6
85. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: f0bdfda4fad161ffdce1b1d7f27fd11480ca701c
86. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: deb151fe3139f2341f3b9d0f657dc095492bc8b1
87. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: db190a72b1d3d98cca678b9ea31fb236a5ba1fa6
88. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 52e49db4871879b217ca1f92ef4e99a3cfd4be2b
89. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0aeeb73d991d29b790a596015d38068e58722470
90. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 51233efdb1111aeba5f3b10d04a7ba41550c235b
91. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 6b9ebabb0261f1c0b41b7d7ccfa601dfcf380483
92. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2315ba2adcdfbbf3b2383fc5c9d17943abf57783
93. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c1f60218da35f4de025f4f00e7fe1ed23a4db883
94. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b1b7d8bffd0b84267f2416bfcea9da9e9017929c
95. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e1a14496528c69c64c5ee3a88cc9fe55562f405b
96. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8a20ad676de989b2807fd0dfe333c687c1fa367f
97. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 31ab606578ccf5fc216ce45ca11dc77ccc9ea914
98. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 1ed6ad6d6c83d7df3b485e2239066fcc0d168919
99. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 52947e3f211cec5db52361c7fccdd7e64828c7c9
100. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: ef18ec061e534323f84ad9fcd8c491fbb803a387
101. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d44c0d33ec62368e8a3d7107f742bdd4d59dddb0
102. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 94a4ae4a0963a8e1e659b53c63b02450b1852a3d
103. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2b53b7ccb118dbf19f3170873c98c29c5c3d0271
104. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 34fec69fd6b23787ca01a15355c457ad3492fabd
105. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: e53ae1b3fcde5200438f7ec65884ad27a5da6017
106. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 1c6dfd1f9a38bcf3193b805d1aac29ccc4979f83
107. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 1b971e405d9f304dd339e2e269fb36e96872a28f
108. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d9a100defa1a6742916ee857665e0f0329546dff
109. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9ae116353072f4a0a04947c8b1450b620b99e01c
110. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 17f0f98e15127cae78412587bb9d6483b7849748
111. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0b80caf2a50839e91a269e25c3219646cda9b500
112. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: afc9115ca86e6c1c724c1d09e35ed9b7e6490dd5
113. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: df479e63a409a55a09c7e25bd4e76729fb2ea8a6
114. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 51623f1966a6297535eadba00c23674edcc0d602
115. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b7f17cd5e6666ba4730184dc56c6130ff11c9194
116. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d816944a35f488332b1d98cd26352df9e5363893
117. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 02f555eed1407da22e35fe9e186d7978a4c66bb8
118. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: a39be10ebc2f8014c723350bfaf95e02da4f0ad3
119. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 788badefee1f1c3ec72b8f133b7f328714669976
120. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d95ac8bb199b3702f01ede2b90ba48d361b59847
121. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e9bda6c6f5b325700233c3d3ab79ce7a90b2b467
122. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9795704d49059ff57f10d6c362a4904f36e9a16e
123. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9c26338bac0b98af49d6148c6a67502161ebebd1
124. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 989e9865f4e3b200e14fa44e063d41997d1a1f14
125. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 35b323a46e706cc1c9cadbcdb26e4ed1afc5db4a
126. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 863c9d6b0139e90f90f37a21608251eeed54e686
127. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 181cc08cbf11a87d17a073740fc345dbf428212b
128. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 89bbc2f565a045efc0839caba947aaa4b511d010
129. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e37c90f20d0d24d6d11babdbdaff187ba8f5635d
130. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a2df8bbd0341f24d47a23b2e559288694ad735c9
131. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d43d896c7cb2ca695595b7f6e2cb7c73a9041643
132. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: fabf9d78cc7b80438227c0ab7350e31f0729c784
133. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: ebb99ab30455ef15ecafa286a80cf40e9fc0495a
134. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: db86a205af0a1c9847227550a1e88cbb4881518d
135. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6afb3faae921ba0c7438e3881b74956cb0272ae8
136. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: e49689ca9b92e527a00ffa028dc705e59f5fa816
137. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 25c7d7e8cf9e20874ae18e62f51d56499581375c
138. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 7a884e6347d330fbec70f228988243e99cb2a179
139. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 3fc8fc3d666f6f4ddc62e325954c691f88854b6e
140. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b2182e213df725cd2edcb07ead88f364a4a26285
141. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 8c768247be1bcb645e4e432a49cb3af7a3c31f55
142. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9691c554af079f6a76562f42e687bcbf9b53ac63
143. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d67a48b7ef75aeb5df5680073c1b067619d54e92
144. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 750b9fbcb1b106c197fc33680f28059c2019395a
145. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7e06b4ae542b573c05134cf3556a47944de02aaf
146. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 79e4b485fafa2b648e8ea281b2639a9fb0afcef4
147. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 0c2b36710504a9e246099451eaba2676e0817c38
148. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a07e035896ad94ee24938c62b856674717266d83
149. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: dd85716ee5f3f62216c81e3a52d8aaecdba4e936
150. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2f0766a524f709a81595d3abf4a9b1a0b09e4d91
151. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7e9147c80d6f49299d975f9eef3f818d94403468
152. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 54358ed1771aea696a46ed01a6afcf3996fc2ede
153. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 91c80439e6ef4edee7d33614ec7b7ea8383b90cc
154. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 69870249bce3c83f39cd9304e148482a3557d4e8
155. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 6a051e222959523f9126f68e76035efacb003ea3
156. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2ad742aafe55a3a9f67cde6f4cffc1cd35ab94cf
157. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: caf2bafaf5db2e9835d84d7134ad19d029f970d4
158. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 82af56c7efe6148f9212d428cb6f71cee1a9563e
159. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c37992a110f0b087a58ef5db4edc8839a26c8330
160. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 8b2f8e30a141e555854e6c67a2f172bc8f0d246f
161. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2ef3c06be2b5ff60e876aaab7ae240801322e337
162. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 4f244ed2f7075c4a5579993bf38e7362a832615f
163. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c6421a22269fb23d06c03dbada4a4fe0ad082ff8
164. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d36c393c6a2f0af500d5c29c5baa79e50d27407c
165. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2a636d33b7cd3518efee7e99ede4a46d695ba348
166. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: b58a3aaa671cfa266284d3da5e6d66f29b7e1596
167. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 9486f8ddb75307b3cd0d3040962223543d20e1d4
168. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 55e287656a70ecd9b5e0a58b8da27d29fd733d25
169. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c4dab77ffa3e6fac50eee6331bf434d72b6cce54
170. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 80b60d280ed6563bbb0ae4441c88a1b467431f6a
171. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: bc472fe560cb80d83268b9a6049ca0916e6e80d9
172. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5b57f0897273223153cccd50a1f53ec27770f1f9
173. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 05ad6edd1d383653d506934a122c6fc4b320d61a
174. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d28d2a49c9c89e0ff432468bd176e40aa286ec85
175. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 407b75f5d2de6a9b3307806c2cfdc44dbaf81f45
176. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 61dd79aac219a020e33a7c7e81ebc00b2813ab4d
177. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 35be8279c1bc87ee8abc68aa6916b37eb1d2d0cb
178. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: af537e0cdb3e019b2e82e918bfd5458050fca4b4
179. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c1870be58229157974f282b56d5da4d31b3c325a
180. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 81df1781d83943ea3a17810be250e32a56085036
181. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f22accf7f8e524a4edb935fde90058975f53d1d1
182. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5bf83c2d31b78813f9e55fb377406f12eda39afa
183. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0062afd728eac71ac2c5121767083dd82235c337
184. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 3d8021c8a2638682be1c505ed8bb9bafde7dae78
185. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9751af8e121bd70fb64f93cd4b1f2fe052a23af2
186. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a32fa6ebe074688974e56659e28c26cb1c45a4b7
187. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: cf90c4a5b03c6bce55a10a01e944be6b41154cb5
188. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d5a71fd0321b81a6e837e5c4e7c40bbf3705084e
189. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 557575c7227fbbb1be74cbbe2290c5f58189ce65
190. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 33d5bd6894689b7304ea22666cf964fc979db967
191. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5a7459da8b22c5c63c216254a61de26ee2c16387
192. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5af6eb877b04de4ffc06848e69c54829e4c899d0
193. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: d78271dc9201e265fd59fa48358f5ed986b07cda
194. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9b894da9ec767d4a5fb12bd30a0734fe076e84b7
195. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 08d5bc1d54b99b59820dca408c5fc419876ccc53
196. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: b785c359ed8da0be5953a8cab233ceb635faafcb
197. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ce93f725b7c06ceb24dfa55df2635cfcf77fb675
198. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: bd7b58efb8d1e2ced1f9c47c17494e2f7a07d728
199. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b377993cdaad22cd2ce0252220382cb9b9daf63e
200. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: dd9d1959ec628b1689a03185c9bc984ea972ce9c
201. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e7c12c8b860e89dab96ac0f36e6c731c3270b2a1
202. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 402128d4042c998417271ada2d558faa7f8f8abe
203. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 3e6132b8391a37b0d21ea5f3083c409a1676933b
204. OPCODE: GU_TOBJECT_UPDATE_STATE, LENGTH: 16, sha1: 3cacdc69590a8a11c4a43b56bd87096a5f061ad9
205. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5d9d554f610926f7492cf58df05085bbc4f8a3f4
206. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: a525616ddb38dcfc3ffd9eb7c028d8a8858165fa
